cant_semestres,sexo,prom_notas_semestre,prom_inasistencias,cursos_reprobados,desercion
0,F,9.331999778747559,8.800000190734863,3,0
0,F,11.605999946594238,14.600000381469727,1,0
0,M,15.052499771118164,11.375,0,0
0,M,9.261666297912598,17.66666603088379,4,0
0,M,12.984999656677246,8.666666984558105,2,0
0,F,12.188750267028809,17.25,3,0
0,F,15.204999923706055,8.25,0,0
0,F,9.220000267028809,13.0,2,0
0,F,15.609999656677246,5.4285712242126465,0,0
0,M,13.345714569091797,7.4285712242126465,0,0
0,M,13.008000373840332,13.399999618530273,1,0
0,F,14.725000381469727,12.25,0,0
0,F,3.9566667079925537,27.33333396911621,3,0
0,F,11.845714569091797,3.5714285373687744,2,0
0,M,15.779999732971191,3.857142925262451,0,0
0,F,10.03499984741211,24.5,1,0
0,F,13.214285850524902,6.5714287757873535,1,0
0,M,13.37399959564209,16.0,0,0
0,M,11.484999656677246,7.0,2,0
0,M,12.498000144958496,10.199999809265137,1,0
0,M,12.383749961853027,3.875,2,0
0,M,14.982856750488281,1.1428571939468384,0,0
0,F,15.087142944335938,11.285714149475098,0,0
0,F,14.418571472167969,17.285715103149414,0,0
0,M,12.487142562866211,3.7142856121063232,2,0
0,M,14.201428413391113,18.14285659790039,1,0
0,F,14.279999732971191,3.2857143878936768,0,0
0,M,13.991250038146973,8.625,0,0
0,M,15.369999885559082,0.2857142984867096,0,0
0,M,11.444999694824219,14.0,1,1
0,M,13.484285354614258,1.0,0,0
0,F,14.625714302062988,2.4285714626312256,0,0
0,M,13.5600004196167,12.666666984558105,0,0
0,M,14.327500343322754,8.25,0,0
0,F,12.09000015258789,11.666666984558105,1,0
0,F,13.873749732971191,9.5,1,0
0,M,14.51200008392334,10.800000190734863,0,0
0,M,11.891111373901367,15.11111068725586,2,0
0,F,13.041666984558105,4.333333492279053,1,0
0,M,8.25,22.0,4,0
0,F,14.734999656677246,5.166666507720947,0,0
0,F,16.412500381469727,10.0,0,0
